# Created by Octave 4.2.1, Thu Apr 19 03:10:02 2018 CEST <angel@angel-Lenovo-G50-80>
# name: Resultados_PCA_LDA
# type: matrix
# rows: 4420
# columns: 3
 1 1 94.915
 11 1 95.414
 11 2 90.628
 11 3 82.502
 11 4 78.166
 11 5 70.937
 11 6 63.559
 11 7 59.172
 11 8 56.83
 11 9 55.284
 11 10 53.44
 11 11 55.284
 21 1 94.118
 21 2 85.294
 21 3 81.406
 21 4 74.576
 21 5 66.002
 21 6 61.316
 21 7 57.827
 21 8 53.29
 21 9 48.355
 21 10 44.317
 21 11 42.423
 21 12 40.877
 21 13 39.731
 21 14 38.136
 21 15 39.332
 21 16 39.781
 21 17 39.531
 21 18 39.232
 21 19 38.485
 21 20 39.182
 21 21 38.883
 31 1 93.519
 31 2 83.749
 31 3 76.919
 31 4 75.274
 31 5 66.65
 31 6 62.911
 31 7 58.774
 31 8 56.132
 31 9 47.906
 31 10 44.616
 31 11 38.883
 31 12 37.687
 31 13 34.347
 31 14 33.101
 31 15 34.546
 31 16 33.599
 31 17 33.998
 31 18 33.4
 31 19 33.599
 31 20 32.802
 31 21 33.2
 31 22 33.001
 31 23 33.599
 31 24 34.845
 31 25 34.197
 31 26 34.347
 31 27 35.344
 31 28 34.945
 31 29 34.497
 31 30 34.447
 31 31 35.194
 41 1 93.121
 41 2 83.101
 41 3 76.77
 41 4 72.233
 41 5 66.999
 41 6 63.46
 41 7 58.475
 41 8 53.639
 41 9 46.461
 41 10 42.173
 41 11 37.089
 41 12 34.746
 41 13 33.4
 41 14 32.602
 41 15 31.406
 41 16 31.256
 41 17 31.007
 41 18 32.602
 41 19 31.555
 41 20 31.755
 41 21 32.652
 41 22 33.051
 41 23 32.303
 41 24 32.203
 41 25 32.951
 41 26 34.297
 41 27 34.497
 41 28 34.646
 41 29 35.294
 41 30 36.142
 41 31 36.142
 41 32 35.444
 41 33 35.494
 41 34 36.092
 41 35 36.241
 41 36 37.388
 41 37 38.036
 41 38 37.438
 41 39 37.238
 41 40 38.036
 41 41 38.285
 51 1 91.775
 51 2 83.4
 51 3 76.321
 51 4 71.984
 51 5 67.248
 51 6 63.161
 51 7 56.53
 51 8 52.094
 51 9 46.012
 51 10 40.528
 51 11 36.839
 51 12 32.802
 51 13 31.306
 51 14 30.309
 51 15 29.362
 51 16 29.362
 51 17 29.013
 51 18 29.511
 51 19 29.013
 51 20 29.212
 51 21 30.359
 51 22 31.904
 51 23 31.356
 51 24 31.356
 51 25 32.303
 51 26 32.951
 51 27 32.453
 51 28 32.951
 51 29 33.799
 51 30 34.197
 51 31 34.447
 51 32 34.646
 51 33 35.942
