# Created by Octave 4.2.1, Thu Apr 19 07:57:30 2018 CEST <angel@angel-Lenovo-G50-80>
# name: Resultados_LDA
# type: matrix
# rows: 10
# columns: 2
 1 57.777
 2 45.663
 3 38.285
 4 23.18
 5 17.597
 6 14.008
 7 12.064
 8 11.216
 9 10.668
 10 10.867


