# Created by Octave 4.2.1, Thu Apr 19 07:53:48 2018 CEST <angel@angel-Lenovo-G50-80>
# name: Resultados_PCA
# type: matrix
# rows: 10
# columns: 2
 10 10.369
 20 6.2313
 30 5.4337
 40 4.9352
 50 5.1844
 60 5.1844
 70 5.2343
 80 5.334
 90 5.4337
 100 5.4337


