# Created by Octave 4.2.1, Thu Apr 19 07:53:48 2018 CEST <angel@angel-Lenovo-G50-80>
# name: Resultados_Originales
# type: matrix
# rows: 10
# columns: 2
 10 5.6331
 20 5.6331
 30 5.6331
 40 5.6331
 50 5.6331
 60 5.6331
 70 5.6331
 80 5.6331
 90 5.6331
 100 5.6331


